"","P1A3BG_CO_1","P1A3BG_CO_2","P1A3BG_CO_3","P1A3BG_CO_4","P1A3BG_Sep_1","P1A3BG_Sep_2","P1A3BG_Sep_3","P1A3BG_Sep_4","P2A4HB_GFP_Co_1","P2A4HB_GFP_co_2","P2A4HB_GFP_CO_3","P2A4HB_GFP_CO_4","P2A4HB_GFP_Sep_1","P2A4HB_GFP_Sep_2","P2A4HB_GFP_Sep_3","P2A4HB_GFP_Sep_4"
"ENSMUSG00000090025",24,30,36,23,20,31,44,22,26,37,46,42,32,43,44,30
"ENSMUSG00000064842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051951",17,23,6,12,15,15,7,4,7,9,8,5,5,8,5,1
"ENSMUSG00000089699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025902",10,8,10,10,10,15,11,11,2,8,4,4,9,6,3,7
"ENSMUSG00000064376",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033845",6806,7348,7183,7380,7496,5838,7344,7662,7824,6288,8872,7466,7715,6455,6899,6603
"ENSMUSG00000025903",4733,5010,4950,5267,4751,4320,5437,4878,6386,5227,7392,5969,6535,5244,5571,5857
"ENSMUSG00000033813",10154,10360,9673,10249,10570,8722,10267,9747,9347,7856,10777,8815,9568,8055,8567,8551
"ENSMUSG00000062588",546,636,523,588,677,513,617,579,634,535,734,581,627,534,570,611
"ENSMUSG00000002459",62,72,52,93,70,52,66,95,14,14,13,20,10,16,10,22
"ENSMUSG00000091305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085623",84,99,98,84,66,80,97,83,91,82,120,110,115,92,102,83
"ENSMUSG00000091665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033793",3374,3772,3676,3854,3377,3091,3890,3632,4084,3215,4708,3470,4131,3446,3565,3265
"ENSMUSG00000025905",19,12,15,15,15,15,10,15,17,14,23,14,11,10,8,5
"ENSMUSG00000093015",2,5,0,0,4,0,3,1,0,2,1,0,1,0,1,0
"ENSMUSG00000033774",0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"ENSMUSG00000025907",1436,1596,1481,1547,1267,1409,1573,1305,1470,1360,1803,1429,1554,1317,1358,1183
"ENSMUSG00000090031",1,2,0,0,0,2,0,0,1,0,1,1,0,0,0,1
"ENSMUSG00000073741",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000087247",2,1,4,2,3,0,0,2,4,1,1,0,3,0,0,1
"ENSMUSG00000033740",3,1,1,4,6,3,2,4,1,0,0,0,0,1,0,0
"ENSMUSG00000051285",1703,1643,2226,1920,1457,1651,2350,1658,2024,1817,3067,1805,2047,1842,2194,1960
"ENSMUSG00000048538",1614,1723,1281,1764,1684,1516,1420,1907,1824,1760,2067,1929,1758,1693,1324,1560
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086461",19,18,23,25,28,20,22,11,34,17,17,18,20,30,19,21
"ENSMUSG00000025909",5,8,2,4,1,2,3,5,9,1,8,9,7,4,1,6
"ENSMUSG00000086235",8,7,3,5,2,4,9,2,3,3,1,4,5,5,5,2
"ENSMUSG00000076169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000084353",289,299,252,275,354,252,286,279,363,286,378,320,322,261,272,283
"ENSMUSG00000076135",1,1,0,0,1,0,0,2,1,0,1,0,1,1,1,0
"ENSMUSG00000086195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066693",108,116,92,93,114,75,106,118,141,116,142,118,138,98,108,118
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061024",4063,4082,3587,3832,4382,3486,3608,4217,4540,3777,4736,4048,4388,3847,3616,3639
"ENSMUSG00000025911",48,56,102,59,39,49,83,53,90,66,130,79,71,80,84,93
"ENSMUSG00000079671",2,0,0,6,0,0,0,1,1,3,2,2,1,0,0,1
"ENSMUSG00000081441",1319,1346,1230,1302,1422,1238,1364,1418,1767,1492,1832,1577,1716,1517,1437,1440
"ENSMUSG00000067879",0,1,1,0,2,0,1,2,3,0,1,1,2,2,1,0
"ENSMUSG00000025912",554,686,753,549,447,636,836,417,569,593,805,524,635,622,533,500
"ENSMUSG00000045210",1654,1903,1768,1760,1477,1549,1869,1646,1998,1940,2434,1924,2123,2057,1703,1819
"ENSMUSG00000085661",83,70,66,59,57,56,57,60,66,77,111,65,82,71,60,60
"ENSMUSG00000025915",311,338,186,277,295,252,210,310,219,180,239,252,213,199,215,234
"ENSMUSG00000046334",132,174,138,157,187,123,131,165,289,258,304,281,270,222,242,249
"ENSMUSG00000088916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046101",373,451,425,349,314,343,434,311,507,433,799,485,489,426,517,475
