Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Age,embryo,Genotype,source_name,tissue
SRR6461246,RNA-Seq,43,120611087,PRJNA429574,SAMN08349354,123642130,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551450,GSM2929503,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929503,SRP128877,embryonic day 5.25,embryo 1,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461314,RNA-Seq,43,61995508,PRJNA429574,SAMN08349394,71788473,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551518,GSM2929571,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929571,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461317,RNA-Seq,43,82636153,PRJNA429574,SAMN08349391,86536562,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551521,GSM2929574,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929574,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461319,RNA-Seq,43,36384278,PRJNA429574,SAMN08349389,41456212,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551523,GSM2929576,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929576,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461320,RNA-Seq,43,46608388,PRJNA429574,SAMN08349388,50625432,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551524,GSM2929577,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929577,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461321,RNA-Seq,43,72739273,PRJNA429574,SAMN08349387,75625306,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551525,GSM2929578,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929578,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461322,RNA-Seq,43,142483510,PRJNA429574,SAMN08349462,143716540,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551526,GSM2929579,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929579,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461329,RNA-Seq,43,56353091,PRJNA429574,SAMN08349455,59173363,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551533,GSM2929586,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929586,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461331,RNA-Seq,43,69082467,PRJNA429574,SAMN08349453,79581989,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551535,GSM2929588,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929588,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
SRR6461332,RNA-Seq,43,66144793,PRJNA429574,SAMN08349452,68292571,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3551536,GSM2929589,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM2929589,SRP128877,embryonic day 5.25,embryo 3,C57BL/6J (F) x C57BL/6J (M),Embryo,Embryo
