"batch" "cluster" "condition" "cell_name" "nomi_cluster"
"2" 2 "Cell competition ON" "24538_8#6" "ExE"
"2" 3 "Cell competition ON" "24538_8#10" "Intermediate"
"2" 1 "Cell competition ON" "24538_8#12" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#14" "Intermediate"
"2" 5 "Cell competition OFF" "24538_8#16" "VE"
"2" 2 "Cell competition OFF" "24538_8#18" "ExE"
"2" 2 "Cell competition OFF" "24538_8#22" "ExE"
"2" 3 "Cell competition OFF" "24538_8#23" "Intermediate"
"2" 2 "Cell competition ON" "24538_8#26" "ExE"
"2" 1 "Cell competition ON" "24538_8#28" "Win Epi"
"2" 2 "Cell competition ON" "24538_8#29" "ExE"
"2" 1 "Cell competition ON" "24538_8#30" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#31" "Win Epi"
"2" 5 "Cell competition ON" "24538_8#32" "VE"
"2" 5 "Cell competition ON" "24538_8#33" "VE"
"2" 5 "Cell competition ON" "24538_8#34" "VE"
"2" 1 "Cell competition ON" "24538_8#35" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#36" "Win Epi"
"2" 3 "Cell competition OFF" "24538_8#39" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#40" "Intermediate"
"2" 2 "Cell competition OFF" "24538_8#41" "ExE"
"2" 2 "Cell competition OFF" "24538_8#42" "ExE"
"2" 2 "Cell competition OFF" "24538_8#43" "ExE"
"2" 2 "Cell competition OFF" "24538_8#44" "ExE"
"2" 3 "Cell competition OFF" "24538_8#47" "Intermediate"
"2" 2 "Cell competition ON" "24538_8#51" "ExE"
"2" 1 "Cell competition ON" "24538_8#53" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#54" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#55" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#57" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#58" "Win Epi"
"2" 1 "Cell competition ON" "24538_8#59" "Win Epi"
"2" 5 "Cell competition ON" "24538_8#60" "VE"
"2" 2 "Cell competition OFF" "24538_8#61" "ExE"
"2" 2 "Cell competition OFF" "24538_8#62" "ExE"
"2" 2 "Cell competition OFF" "24538_8#63" "ExE"
"2" 2 "Cell competition OFF" "24538_8#67" "ExE"
"2" 3 "Cell competition OFF" "24538_8#69" "Intermediate"
"2" 3 "Cell competition OFF" "24538_8#70" "Intermediate"
"2" 5 "Cell competition OFF" "24538_8#71" "VE"
