Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2929440	"Mouse embryo cell EB_337"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551387"	SRX3551387	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929441	"Mouse embryo cell EB_339"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551388"	SRX3551388	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929442	"Mouse embryo cell EB_340"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551389"	SRX3551389	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929443	"Mouse embryo cell EB_336"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551390"	SRX3551390	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929444	"Mouse embryo cell EB_341"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551391"	SRX3551391	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929445	"Mouse embryo cell EB_10"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551392"	SRX3551392	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929446	"Mouse embryo cell EB_388"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551393"	SRX3551393	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929447	"Mouse embryo cell EB_385"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551394"	SRX3551394	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929448	"Mouse embryo cell EB_391"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551395"	SRX3551395	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929449	"Mouse embryo cell EB_386"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551396"	SRX3551396	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929450	"Mouse embryo cell EB_392"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551397"	SRX3551397	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929451	"Mouse embryo cell EB_389"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551398"	SRX3551398	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929452	"Mouse embryo cell EB_393"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551399"	SRX3551399	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929453	"Mouse embryo cell EB_394"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551400"	SRX3551400	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929454	"Mouse embryo cell EB_344"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551401"	SRX3551401	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929455	"Mouse embryo cell EB_346"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551402"	SRX3551402	"Qiaolin Deng"	"Feb 04, 2019"
GSM2929456	"Mouse embryo cell EB_345"	"SRA"	"Mus musculus"	1	GPL13112	GSE109071	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3551403"	SRX3551403	"Qiaolin Deng"	"Feb 04, 2019"
