"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","ENSG00000130513","ENSG00000130513","1.1.1","Gdf15","ENSMUSG00000038508","growth differentiation factor 15 [Source:MGI Symbol;Acc:MGI:1346047]"
"2","ENSG00000132646","ENSG00000132646","2.1.1","Pcna","ENSMUSG00000027342","proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]"
"3","ENSG00000002822","ENSG00000002822","3.1.1","Mad1l1","ENSMUSG00000029554","MAD1 mitotic arrest deficient 1-like 1 [Source:MGI Symbol;Acc:MGI:1341857]"
"4","ENSG00000026508","ENSG00000026508","4.1.1","Cd44","ENSMUSG00000005087","CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
"5","ENSG00000181104","ENSG00000181104","5.1.1","F2r","ENSMUSG00000048376","coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]"
"6","ENSG00000131759","ENSG00000131759","6.1.1","Rara","ENSMUSG00000037992","retinoic acid receptor, alpha [Source:MGI Symbol;Acc:MGI:97856]"
"7","ENSG00000137331","ENSG00000137331","7.1.1","Ier3","ENSMUSG00000003541","immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]"
"8","ENSG00000176171","ENSG00000176171","8.1.1","Bnip3","ENSMUSG00000078566","BCL2/adenovirus E1B interacting protein 3 [Source:MGI Symbol;Acc:MGI:109326]"
"9","ENSG00000115738","ENSG00000115738","9.1.1","Id2","ENSMUSG00000020644","inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]"
"10","ENSG00000140443","ENSG00000140443","10.1.1","Igf1r","ENSMUSG00000005533","insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]"
"11","ENSG00000073756","ENSG00000073756","11.1.1","Ptgs2","ENSMUSG00000032487","prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]"
"12","ENSG00000102760","ENSG00000102760","12.1.1","Rgcc","ENSMUSG00000022018","regulator of cell cycle [Source:MGI Symbol;Acc:MGI:1913464]"
"13","ENSG00000085563","ENSG00000085563","13.1.1","Abcb1b","ENSMUSG00000028970","ATP-binding cassette, sub-family B (MDR/TAP), member 1B [Source:MGI Symbol;Acc:MGI:97568]"
"13","ENSG00000085563","ENSG00000085563","13.1.2","Abcb1a","ENSMUSG00000040584","ATP-binding cassette, sub-family B (MDR/TAP), member 1A [Source:MGI Symbol;Acc:MGI:97570]"
"14","ENSG00000081051","ENSG00000081051","14.1.1","Afp","ENSMUSG00000054932","alpha fetoprotein [Source:MGI Symbol;Acc:MGI:87951]"
"15","ENSG00000100823","ENSG00000100823","15.1.1","Apex1","ENSMUSG00000035960","apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]"
"16","ENSG00000169083","ENSG00000169083","16.1.1","Ar","ENSMUSG00000046532","androgen receptor [Source:MGI Symbol;Acc:MGI:88064]"
"17","ENSG00000175054","ENSG00000175054","17.1.1","Atr","ENSMUSG00000032409","ataxia telangiectasia and Rad3 related [Source:MGI Symbol;Acc:MGI:108028]"
"18","ENSG00000171791","ENSG00000171791","18.1.1","Bcl2","ENSMUSG00000057329","B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]"
"19","ENSG00000089685","ENSG00000089685","19.1.1","Birc5","ENSMUSG00000017716","baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]"
"20","ENSG00000139618","ENSG00000139618","20.1.1","Brca2","ENSMUSG00000041147","breast cancer 2, early onset [Source:MGI Symbol;Acc:MGI:109337]"
"21","ENSG00000110395","ENSG00000110395","21.1.1","Cbl","ENSMUSG00000034342","Casitas B-lineage lymphoma [Source:MGI Symbol;Acc:MGI:88279]"
"22","ENSG00000157456","ENSG00000157456","22.1.1","Ccnb2","ENSMUSG00000032218","cyclin B2 [Source:MGI Symbol;Acc:MGI:88311]"
"23","ENSG00000117399","ENSG00000117399","23.1.1","Cdc20","ENSMUSG00000006398","cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"
"24","ENSG00000147889","ENSG00000147889","24.1.1","N/A","N/A","N/A"
"25","ENSG00000149554","ENSG00000149554","25.1.1","Chek1","ENSMUSG00000032113","checkpoint kinase 1 [Source:MGI Symbol;Acc:MGI:1202065]"
"26","ENSG00000123975","ENSG00000123975","26.1.1","Cks2","ENSMUSG00000062248","CDC28 protein kinase regulatory subunit 2 [Source:MGI Symbol;Acc:MGI:1913447]"
"27","ENSG00000116791","ENSG00000116791","27.1.1","Cryz","ENSMUSG00000028199","crystallin, zeta [Source:MGI Symbol;Acc:MGI:88527]"
"28","ENSG00000023892","ENSG00000023892","28.1.1","Def6","ENSMUSG00000002257","differentially expressed in FDCP 6 [Source:MGI Symbol;Acc:MGI:1346328]"
"29","ENSG00000128951","ENSG00000128951","29.1.1","Dut","ENSMUSG00000027203","deoxyuridine triphosphatase [Source:MGI Symbol;Acc:MGI:1346051]"
"30","ENSG00000114346","ENSG00000114346","30.1.1","Ect2","ENSMUSG00000027699","ect2 oncogene [Source:MGI Symbol;Acc:MGI:95281]"
"31","ENSG00000119888","ENSG00000119888","31.1.1","Epcam","ENSMUSG00000045394","epithelial cell adhesion molecule [Source:MGI Symbol;Acc:MGI:106653]"
"32","ENSG00000180340","ENSG00000180340","32.1.1","Fzd2","ENSMUSG00000050288","frizzled class receptor 2 [Source:MGI Symbol;Acc:MGI:1888513]"
"33","ENSG00000117228","ENSG00000117228","33.1.1","N/A","N/A","N/A"
"34","ENSG00000162676","ENSG00000162676","34.1.1","Gfi1","ENSMUSG00000029275","growth factor independent 1 transcription repressor [Source:MGI Symbol;Acc:MGI:103170]"
