gene location;strand;Ensembl ID;Gene Symbol;sum direct regulation score (-16..0..16);sum direct target (0..16);Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 iRegulon Nutlin-3a MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 Nutlin-3a iRegulon MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;p53 ChIP 25kb sum (0..15);p53 ChIP 5kb sum (0..15);p53 ChIP 2.5kb sum (0..15);p53 Expression Score (-20..0..20)
chr6:36644236-36655116;+;ENSG00000124762;CDKN1A;17;17;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;15;15;20
chr8:103216728-103251059;-;ENSG00000048392;RRM2B;17;17;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;15;15;18
chr12:69201970-69239212;+;ENSG00000135679;MDM2;16;16;up;---;up;up;up;up;up;up;up;up;up;up;up;up;up;up;up;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;15;15;19
chr14:70078309-70181861;+;ENSG00000100647;SUSD6;15;15;up;---;up;up;up;up;up;up;up;up;---;up;up;up;up;up;up;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10;10;10;19
chr19:18496967-18499986;+;ENSG00000130513;GDF15;14;15;up/down;---;up;up;up;up;up;up;up;up;up;up;up;up;---;up;up;x;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;15;13;13;16
chr1:203274663-203278729;+;ENSG00000159388;BTG2;14;14;up;---;up;up;up;up;up;up;up;up;---;up;up;up;up;---;up;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;14;14;14;20
chr11:47236492-47260769;+;ENSG00000134574;DDB2;14;14;up;up;up;up;up;---;up;up;up;---;---;up;up;up;up;up;up;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;15;15;15;18
chr1:68150859-68154021;+;ENSG00000116717;GADD45A;14;14;up;up;up;---;up;up;up;up;---;up;---;up;up;up;up;up;up;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;15;15;15;16
chr1:45266035-45271667;+;ENSG00000173846;PLK3;14;14;up;---;up;up;up;up;up;up;---;---;up;up;up;up;up;up;up;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;15;15;15;17
chr12:4430358-4469190;+;ENSG00000078237;TIGAR;14;14;up;---;up;up;up;up;up;up;up;---;---;up;up;up;up;up;up;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;15;15;15;19
